StateProvince_GBIF
San José
Alajuela
Puntarenas
Puntarenas
Limón
San José
Guanacaste
Guanacaste
Cartago
San José
San José
Alajuela
Heredia
Puntarenas
Heredia
Puntarenas
Puntarenas
San José
Cartago
San José
Limón
Puntarenas
San José
Puntarenas
Guanacaste
Cartago
Cartago
Puntarenas
Puntarenas
Alajuela
Guanacaste
Guanacaste
Guanacaste
Alajuela
Limón
Puntarenas
Alajuela
Puntarenas
Limón
Limón
Alajuela
Limón
Guanacaste
Cartago
Puntarenas
Heredia
Alajuela
Guanacaste
Alajuela
Cartago
San José
Cartago
Alajuela
Heredia
Cartago
San José
San José
Alajuela
Cartago
Heredia
Heredia
San José
Heredia
Cartago
Puntarenas
San José
San José
Alajuela
Alajuela
Heredia
San José
San José
Limón
Limón
Limón
Limón
Puntarenas
Puntarenas
Limón
Cartago
Heredia
Limón
Puntarenas
Limón
Limón
Heredia
Heredia
Limón
Puntarenas
San José
Puntarenas
Heredia
Puntarenas
San José
Puntarenas
Guanacaste
Guanacaste
Guanacaste
Guanacaste
Guanacaste
Limón
San José
Guanacaste
Guanacaste
Alajuela
Guanacaste
Guanacaste
Limón
Cartago
Guanacaste
Alajuela
Alajuela
Alajuela
Puntarenas
Guanacaste
Puntarenas
Alajuela
San José
San José
Cartago
Puntarenas
Guanacaste
Heredia
Cartago
Guanacaste
Alajuela
Puntarenas
San José
San José
Limón
Guanacaste
San José
Puntarenas
Limón
Puntarenas
San José
San José
San José
San José
Guanacaste
Cartago
Limón
Puntarenas
Cartago
San José
Guanacaste
Cartago
Alajuela
Cartago
Limón
Guanacaste
San José
San José
Limón
Alajuela
Limón
Puntarenas
Limón
Cartago
Heredia
Guanacaste
Puntarenas
Puntarenas
San José
Puntarenas
Guanacaste
Guanacaste
Guanacaste
Guanacaste
Guanacaste
Heredia
Guanacaste
Guanacaste
Alajuela
Guanacaste
Alajuela
Alajuela
Alajuela
Limón
Limón
San José
Guanacaste
Puntarenas
Limón
Heredia
Cartago
Cartago
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Alajuela
Guanacaste
Cartago
San José
Puntarenas
Limón
Puntarenas
Puntarenas
San José
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Alajuela
Puntarenas
Limón
Alajuela
Heredia
Alajuela
Alajuela
Puntarenas
Puntarenas
Alajuela
Puntarenas
Alajuela
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Guanacaste
Puntarenas
Alajuela
San José
San José
San José
Heredia
Alajuela
Alajuela
Cartago
Cartago
Puntarenas
Alajuela
Puntarenas
Puntarenas
Puntarenas
Alajuela
Alajuela
Alajuela
Heredia
Alajuela
Puntarenas
Guanacaste
Guanacaste
Limón
Puntarenas
San José
San José
San José
Guanacaste
Alajuela
Guanacaste
Guanacaste
Alajuela
Alajuela
Puntarenas
San José
Guanacaste
Puntarenas
Guanacaste
San José
Puntarenas
Limón
Limón
Alajuela
Limón
Alajuela
Alajuela
Puntarenas
Cartago
Alajuela
Puntarenas
San José
Limón
Limón
Heredia
Heredia
San José
Heredia
San José
Cartago
Alajuela
San José
Puntarenas
Heredia
Limón
Alajuela
Alajuela
Alajuela
Heredia
Cartago
Guanacaste
Alajuela
Puntarenas
Alajuela
Limón
Limón
Puntarenas
Guanacaste
Alajuela
Cartago
Puntarenas
Limón
Puntarenas
Alajuela
Alajuela
Alajuela
Alajuela
Puntarenas
Puntarenas
Limón
Puntarenas
Heredia
San José
Limón
San José
Limón
Heredia
Heredia
Alajuela
San José
San José
Puntarenas
Heredia
San José
Heredia
San José
Cartago
Cartago
San José
San José
Cartago
San José
Cartago
Puntarenas
San José
Heredia
Heredia
Heredia
Cartago
San José
Cartago
Cartago
Puntarenas
Heredia
San José
San José
San José
Alajuela
Alajuela
Puntarenas
San José
Heredia
Heredia
Puntarenas
Heredia
Limón
Limón
Heredia
Limón
Puntarenas
Limón
Puntarenas
Heredia
Limón
Limón
San José
Cartago
Cartago
San José
San José
Cartago
Cartago
San José
Cartago
Heredia
Heredia
Heredia
Alajuela
Guanacaste
Limón
San José
Guanacaste
Puntarenas
Puntarenas
Puntarenas
Heredia
Alajuela
Alajuela
Cartago
Puntarenas
Guanacaste
Alajuela
Guanacaste
Alajuela
Alajuela
Alajuela
Guanacaste
Guanacaste
Limón
Limón
Alajuela
Puntarenas
Puntarenas
Guanacaste
Guanacaste
Guanacaste
San José
Guanacaste
Guanacaste
Guanacaste
San José
Guanacaste
Puntarenas
Puntarenas
Puntarenas
Alajuela
Alajuela
Alajuela
Guanacaste
Guanacaste
Alajuela
Guanacaste
San José
Guanacaste
San José
Guanacaste
San José
Puntarenas
Alajuela
Alajuela
Puntarenas
Heredia
Puntarenas
Limón
Puntarenas
Puntarenas
Puntarenas
San José
Puntarenas
Puntarenas
Cartago
Puntarenas
Limón
Alajuela
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
San José
Puntarenas
Limón
Puntarenas
Puntarenas
Puntarenas
Alajuela
Alajuela
Limón
Alajuela
Alajuela
Cartago
Cartago
Puntarenas
Guanacaste
Guanacaste
Puntarenas
Limón
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Alajuela
Heredia
Cartago
Puntarenas
San José
Heredia
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
San José
Limón
Limón
San José
San José
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Puntarenas
San José
Alajuela
Alajuela
Alajuela
Alajuela
Alajuela
Alajuela
Alajuela
Alajuela
Guanacaste
Alajuela
Alajuela
Alajuela
Alajuela
Heredia
Limón
Limón
Alajuela
Limón
Alajuela
Limón
Cartago
Limón
Puntarenas
Puntarenas
Limón
Puntarenas
Heredia
Alajuela
Puntarenas
Limón
Puntarenas
Cartago
Puntarenas
Guanacaste
Puntarenas
Guanacaste
Alajuela
Alajuela
Guanacaste
Heredia
Cartago
Guanacaste
San José
San José
Limón
Puntarenas
Puntarenas
Alajuela
Cartago
San José
Puntarenas
Alajuela
Limón
Limón
Guanacaste
Limón
Heredia
Puntarenas
Puntarenas
Puntarenas
Guanacaste
Guanacaste
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Cartago
Alajuela
Alajuela
Limón
Limón
Puntarenas
Puntarenas
Puntarenas
Heredia
Alajuela
Guanacaste
Heredia
San José
Puntarenas
Puntarenas
Alajuela
Puntarenas
Puntarenas
Puntarenas
Puntarenas
Alajuela
San José
Puntarenas
Guanacaste
Guanacaste
Limón
Guanacaste
Limón
Puntarenas
Cartago
Heredia
Alajuela
Alajuela
Heredia
Puntarenas
Puntarenas
Guanacaste
Cartago
Cartago
San José
Cartago
Cartago
Heredia
